episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
nan,nan,nan,nan,0,4,5120,0,5120,False,0,1,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-08-30,1718608110,1.4662809371948242,1.4662809371948242,4998,DESKTOP-LQ219J4,192.168.46.185,1.4662809371948242,0,1,[],[],1380.537,3708.702,0.227,22557601.345,92.833,55153.06,2.48,5120,5120,5120,5120,6.066666666666667,22.066666666666666,0.0,15.908553,8047.1708984375,7.39456033706665,1.4888427257537842
5.0,0.0,1.45,500.0,20,4,46080,0,46080,False,20,2,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-08-41,1718608121,10.375566959381104,11.841847896575928,4998,DESKTOP-LQ219J4,192.168.46.185,11.841847896575928,0,2,"[0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 5.0, 2.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1310.664,3906.416,0.116,44227352.018,69.255,73930.068,2.494,46080,46080,46080,46080,4.021428571428571,22.849999999999998,0.0,43.414455,8040.5595703125,11.39175033569336,19.857370376586914
5.0,0.0,1.65,500.0,20,4,87040,0,87040,False,40,3,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-08-51,1718608131,10.810100078582764,22.65194797515869,4998,DESKTOP-LQ219J4,192.168.46.185,22.65194797515869,0,3,"[0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 5.0, 2.0, 1.0, 3.0, 1.0, 5.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 4.0, 0.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1343.607,3810.637,0.105,48640626.229,66.988,76431.446,2.552,87040,87040,87040,87040,4.18125,23.549999999999997,0.0,37.20698,8023.25927734375,4.205785751342773,17.162372589111328
5.0,0.0,1.59375,500.0,24,4,128000,0,128000,False,64,4,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-09-02,1718608142,10.601808547973633,33.253756523132324,4998,DESKTOP-LQ219J4,192.168.46.185,33.253756523132324,0,4,"[0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 5.0, 2.0, 1.0, 3.0, 1.0, 5.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 4.0, 0.0, 2.0, 3.0, 3.0, 1.0, 0.0, 2.0, 1.0, 3.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 3.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1323.388,3868.858,0.101,50624319.849,66.935,76492.348,2.703,128000,128000,128000,128000,4.34,24.233333333333334,0.0,93.8415,8000.57568359375,34.748355865478516,26.63272476196289
5.0,0.0,1.5238095238095237,500.0,20,4,168960,0,168960,False,84,5,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-09-13,1718608153,10.591166019439697,43.84492254257202,4998,DESKTOP-LQ219J4,192.168.46.185,43.84492254257202,0,5,"[0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 5.0, 2.0, 1.0, 3.0, 1.0, 5.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 4.0, 0.0, 2.0, 3.0, 3.0, 1.0, 0.0, 2.0, 1.0, 3.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 3.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1328.42,3854.203,0.1,51130563.048,66.147,77403.032,2.647,168960,168960,168960,168960,4.653333333333333,24.973333333333333,0.0,111.49914,7991.9326171875,-44.46177673339844,13.879353523254395
5.0,0.0,1.71,500.0,20,4,209920,0,209920,False,104,6,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-09-23,1718608163,10.728079557418823,54.573002099990845,4998,DESKTOP-LQ219J4,192.168.46.185,54.573002099990845,0,6,"[2.0, 0.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 5.0, 2.0, 1.0, 3.0, 1.0, 5.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 4.0, 0.0, 2.0, 3.0, 3.0, 1.0, 0.0, 2.0, 1.0, 3.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 3.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0, 4.0, 1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 3.0, 1.0, 3.0, 5.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1339.1,3823.464,0.103,49504002.951,65.323,78379.75,2.773,209920,209920,209920,209920,4.02,25.613333333333333,0.0,44.65245,7976.138671875,-13.78547477722168,21.87148666381836
5.0,0.0,1.62,500.0,20,4,250880,0,250880,False,124,7,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-09-34,1718608174,10.719085216522217,65.29208731651306,4998,DESKTOP-LQ219J4,192.168.46.185,65.29208731651306,0,7,"[2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 4.0, 0.0, 2.0, 3.0, 3.0, 1.0, 0.0, 2.0, 1.0, 3.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 3.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0, 4.0, 1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 3.0, 1.0, 3.0, 5.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1339.446,3822.476,0.106,48171459.13,66.111,77445.461,2.831,250880,250880,250880,250880,4.2749999999999995,26.28125,0.0,150.66489,8020.41845703125,-65.83895874023438,0.7242112755775452
5.0,0.0,1.51,500.0,20,4,291840,0,291840,False,144,8,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-09-45,1718608185,10.661348581314087,75.95343589782715,4998,DESKTOP-LQ219J4,192.168.46.185,75.95343589782715,0,8,"[0.0, 2.0, 1.0, 3.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 3.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0, 4.0, 1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 3.0, 1.0, 3.0, 5.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 2.0, 3.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 1.0, 0.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1332.368,3842.782,0.102,50304137.925,66.668,76798.81,2.859,291840,291840,291840,291840,4.273333333333334,26.953333333333337,0.0,57.174404,8030.2109375,-25.896854400634766,2.162933349609375
5.0,0.0,1.54,500.0,20,4,332800,0,332800,False,164,9,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-09-56,1718608196,10.643298387527466,86.59673428535461,4998,DESKTOP-LQ219J4,192.168.46.185,86.59673428535461,0,9,"[1.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 2.0, 3.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 4.0, 4.0, 1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 3.0, 1.0, 3.0, 5.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 2.0, 3.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 1.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 0.0, 3.0, 2.0, 0.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1338.159,3826.153,0.101,50743942.533,66.386,77125.184,2.82,332800,332800,332800,332800,4.1066666666666665,27.61333333333333,0.0,112.76138,8018.5859375,-49.65869903564453,0.3344321846961975
5.0,0.0,1.47,500.0,20,4,373760,0,373760,False,184,10,65be9_00000,b9e963105bdc4382843b68ace23a11d3,2024-06-17_16-10-06,1718608206,10.705274820327759,97.30200910568237,4998,DESKTOP-LQ219J4,192.168.46.185,97.30200910568237,0,10,"[4.0, 4.0, 1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 3.0, 1.0, 3.0, 5.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 0.0, 3.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 2.0, 3.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 3.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 1.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 0.0, 3.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 3.0, 2.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1335.817,3832.86,0.115,44498210.692,66.997,76420.866,2.781,373760,373760,373760,373760,3.9799999999999995,28.253333333333334,0.0,70.57607,8003.982421875,27.087276458740234,18.276363372802734
