episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
nan,nan,nan,nan,0,4,5120,0,5120,False,0,1,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_13-59-53,1718168393,1.7662792205810547,1.7662792205810547,93894,DESKTOP-LQ219J4,192.168.46.185,1.7662792205810547,0,1,[],[],1419.092,3607.941,0.272,18804585.359,354.721,14433.886,4.079,5120,5120,5120,5120,6.233333333333333,22.599999999999998,0.0,150162.56,8047.171875,-1966.351806640625,3651.061279296875
3.0,0.0,1.1875,500.0,16,4,35840,0,35840,False,16,2,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-00-03,1718168403,10.596233367919922,12.362512588500977,93894,DESKTOP-LQ219J4,192.168.46.185,12.362512588500977,0,2,"[1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1717.768,2980.612,0.138,37007349.916,343.145,14920.826,4.085,35840,35840,35840,35840,4.2,24.426666666666662,0.0,32485.447,8044.59326171875,-253.01683044433594,1188.770751953125
3.0,0.0,1.09375,500.0,16,4,66560,0,66560,False,32,3,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-00-14,1718168414,10.623249769210815,22.985762357711792,93894,DESKTOP-LQ219J4,192.168.46.185,22.985762357711792,0,3,"[1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1770.115,2892.467,0.116,44205097.736,335.97,15239.439,4.251,66560,66560,66560,66560,4.013333333333334,25.199999999999996,0.0,74262.66,8041.3564453125,-1412.1336669921875,1094.1103515625
3.0,0.0,1.2291666666666667,500.0,16,4,97280,0,97280,False,48,4,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-00-25,1718168425,10.71013617515564,33.69589853286743,93894,DESKTOP-LQ219J4,192.168.46.185,33.69589853286743,0,4,"[1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 3.0, 0.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1775.768,2883.26,0.118,43559506.045,333.477,15353.403,4.257,97280,97280,97280,97280,4.13125,25.775000000000002,0.0,10938.219,8038.92529296875,-161.3748779296875,631.6514892578125
3.0,0.0,1.234375,500.0,16,4,128000,0,128000,False,64,5,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-00-35,1718168435,10.61015772819519,44.30605626106262,93894,DESKTOP-LQ219J4,192.168.46.185,44.30605626106262,0,5,"[1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 3.0, 0.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 3.0, 0.0, 1.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, 1.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1769.78,2893.015,0.12,42532851.02,332.3,15407.774,4.115,128000,128000,128000,128000,4.326666666666666,26.40000000000001,0.0,11850.887,8040.650390625,102.92344665527344,667.0879516601562
6.0,0.0,1.3026315789473684,500.0,12,4,158720,0,158720,False,76,6,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-00-46,1718168446,10.700133323669434,55.006189584732056,93894,DESKTOP-LQ219J4,192.168.46.185,55.006189584732056,0,6,"[1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 3.0, 0.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 3.0, 0.0, 1.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 6.0, 2.0, 1.0, 2.0, 3.0, 0.0, 2.0, 0.0, 2.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1782.138,2872.954,0.125,40834448.526,334.944,15286.145,4.238,158720,158720,158720,158720,4.433333333333334,26.986666666666668,0.0,19615.0,8039.11181640625,372.09429931640625,442.8472900390625
6.0,0.0,1.2717391304347827,500.0,16,4,189440,0,189440,False,92,7,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-00-56,1718168456,10.590129613876343,65.5963191986084,93894,DESKTOP-LQ219J4,192.168.46.185,65.5963191986084,0,7,"[1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 3.0, 0.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 3.0, 0.0, 1.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 6.0, 2.0, 1.0, 2.0, 3.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1771.287,2890.554,0.129,39790321.438,331.243,15456.922,4.158,189440,189440,189440,189440,4.153333333333333,27.626666666666672,0.0,12559.946,8036.779296875,99.28003692626953,525.9669799804688
6.0,0.0,1.24,500.0,16,4,220160,0,220160,False,108,8,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-01-07,1718168467,10.671273708343506,76.2675929069519,93894,DESKTOP-LQ219J4,192.168.46.185,76.2675929069519,0,8,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 3.0, 0.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 3.0, 0.0, 1.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 6.0, 2.0, 1.0, 2.0, 3.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 0.0, 2.0, 4.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1776.807,2881.574,0.129,39570363.884,330.953,15470.498,4.21,220160,220160,220160,220160,4.153333333333332,28.22666666666667,0.0,10375.69,8026.2734375,145.70411682128906,407.330810546875
6.0,0.0,1.31,500.0,16,4,250880,0,250880,False,124,9,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-01-18,1718168478,10.566601276397705,86.83419418334961,93894,DESKTOP-LQ219J4,192.168.46.185,86.83419418334961,0,9,"[1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 2.0, 3.0, 0.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 3.0, 0.0, 1.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 6.0, 2.0, 1.0, 2.0, 3.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 0.0, 2.0, 4.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 3.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1772.853,2888.001,0.124,41441212.814,332.861,15381.801,4.067,250880,250880,250880,250880,4.186666666666666,28.806666666666676,0.0,12545.624,8026.40576171875,318.190185546875,375.3944091796875
6.0,0.0,1.29,500.0,16,4,281600,0,281600,False,140,10,99766_00000,e5855d75d4ce4b88aa7cdf0620c8d7a4,2024-06-12_14-01-28,1718168488,10.690227031707764,97.52442121505737,93894,DESKTOP-LQ219J4,192.168.46.185,97.52442121505737,0,10,"[3.0, 0.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 3.0, 0.0, 1.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 6.0, 2.0, 1.0, 2.0, 3.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 1.0, 0.0, 2.0, 4.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 3.0, 1.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 3.0, 5.0, 0.0, 1.0, 0.0, 1.0, 0.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 1.0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",1775.404,2883.85,0.126,40610507.716,335.138,15277.302,4.24,281600,281600,281600,281600,4.143750000000001,29.506249999999998,0.0,16802.64,8025.98193359375,281.6025085449219,430.9226989746094
