/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=43, episodic_return=[0.]
global_step=330, episodic_return=[0.]
global_step=2393, episodic_return=[0.]
global_step=4441, episodic_return=[0.]
global_step=4729, episodic_return=[0.]
global_step=4971, episodic_return=[0.]
global_step=6845, episodic_return=[0.]
global_step=13591, episodic_return=[0.]
global_step=14068, episodic_return=[0.]
global_step=14677, episodic_return=[0.]
