/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=33, episodic_return=[1.]
global_step=65, episodic_return=[1.]
global_step=122, episodic_return=[4.]
global_step=145, episodic_return=[0.]
global_step=187, episodic_return=[2.]
global_step=242, episodic_return=[3.]
global_step=297, episodic_return=[3.]
global_step=342, episodic_return=[2.]
global_step=386, episodic_return=[2.]
global_step=430, episodic_return=[2.]
global_step=476, episodic_return=[2.]
global_step=517, episodic_return=[2.]
global_step=588, episodic_return=[4.]
global_step=618, episodic_return=[1.]
global_step=643, episodic_return=[0.]
global_step=684, episodic_return=[2.]
global_step=730, episodic_return=[2.]
global_step=764, episodic_return=[1.]
global_step=803, episodic_return=[2.]
global_step=837, episodic_return=[1.]
global_step=886, episodic_return=[3.]
global_step=932, episodic_return=[2.]
global_step=975, episodic_return=[2.]
global_step=1014, episodic_return=[2.]
global_step=1072, episodic_return=[3.]
global_step=1108, episodic_return=[1.]
global_step=1159, episodic_return=[3.]
global_step=1207, episodic_return=[3.]
global_step=1251, episodic_return=[2.]
global_step=1295, episodic_return=[2.]
global_step=1366, episodic_return=[5.]
global_step=1387, episodic_return=[0.]
global_step=1433, episodic_return=[2.]
global_step=1471, episodic_return=[2.]
global_step=1530, episodic_return=[4.]
global_step=1578, episodic_return=[3.]
global_step=1619, episodic_return=[2.]
global_step=1640, episodic_return=[0.]
global_step=1676, episodic_return=[1.]
global_step=1722, episodic_return=[2.]
global_step=1795, episodic_return=[5.]
global_step=1829, episodic_return=[1.]
global_step=1873, episodic_return=[2.]
global_step=1914, episodic_return=[2.]
global_step=1946, episodic_return=[1.]
global_step=2012, episodic_return=[4.]
global_step=2063, episodic_return=[3.]
global_step=2097, episodic_return=[1.]
global_step=2150, episodic_return=[3.]
global_step=2182, episodic_return=[1.]
global_step=2207, episodic_return=[0.]
global_step=2232, episodic_return=[0.]
global_step=2251, episodic_return=[0.]
global_step=2297, episodic_return=[2.]
global_step=2345, episodic_return=[2.]
global_step=2381, episodic_return=[1.]
global_step=2406, episodic_return=[0.]
global_step=2427, episodic_return=[0.]
global_step=2483, episodic_return=[3.]
global_step=2508, episodic_return=[0.]
global_step=2552, episodic_return=[2.]
