/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/stable_baselines3/common/buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 14.12GB > 11.36GB
  warnings.warn(
global_step=67, episodic_return=[200.]
global_step=121, episodic_return=[200.]
global_step=205, episodic_return=[500.]
global_step=255, episodic_return=[0.]
global_step=317, episodic_return=[100.]
global_step=371, episodic_return=[200.]
global_step=419, episodic_return=[50.]
global_step=484, episodic_return=[200.]
global_step=540, episodic_return=[200.]
global_step=584, episodic_return=[50.]
global_step=630, episodic_return=[50.]
global_step=674, episodic_return=[150.]
global_step=717, episodic_return=[100.]
global_step=765, episodic_return=[200.]
global_step=815, episodic_return=[50.]
global_step=889, episodic_return=[300.]
global_step=957, episodic_return=[300.]
global_step=1036, episodic_return=[350.]
global_step=1115, episodic_return=[550.]
global_step=1186, episodic_return=[350.]
global_step=1258, episodic_return=[250.]
global_step=1322, episodic_return=[300.]
global_step=1368, episodic_return=[300.]
global_step=1463, episodic_return=[500.]
global_step=1526, episodic_return=[250.]
global_step=1574, episodic_return=[100.]
global_step=1631, episodic_return=[250.]
global_step=1686, episodic_return=[300.]
global_step=1736, episodic_return=[200.]
global_step=1781, episodic_return=[200.]
global_step=1870, episodic_return=[400.]
global_step=1924, episodic_return=[250.]
global_step=1981, episodic_return=[200.]
global_step=2039, episodic_return=[300.]
global_step=2114, episodic_return=[350.]
global_step=2164, episodic_return=[200.]
global_step=2221, episodic_return=[400.]
global_step=2262, episodic_return=[50.]
global_step=2309, episodic_return=[250.]
global_step=2355, episodic_return=[200.]
global_step=2417, episodic_return=[400.]
global_step=2484, episodic_return=[250.]
global_step=2543, episodic_return=[200.]
global_step=2619, episodic_return=[250.]
global_step=2661, episodic_return=[50.]
global_step=2734, episodic_return=[300.]
global_step=2782, episodic_return=[250.]
global_step=2834, episodic_return=[50.]
global_step=2894, episodic_return=[100.]
global_step=2941, episodic_return=[150.]
global_step=2996, episodic_return=[200.]
global_step=3044, episodic_return=[150.]
global_step=3103, episodic_return=[300.]
global_step=3179, episodic_return=[400.]
global_step=3271, episodic_return=[450.]
global_step=3315, episodic_return=[50.]
global_step=3374, episodic_return=[200.]
global_step=3423, episodic_return=[50.]
global_step=3474, episodic_return=[50.]
global_step=3554, episodic_return=[450.]
global_step=3626, episodic_return=[500.]
global_step=3704, episodic_return=[350.]
global_step=3793, episodic_return=[550.]
global_step=3868, episodic_return=[350.]
global_step=3930, episodic_return=[250.]
global_step=3973, episodic_return=[50.]
global_step=4051, episodic_return=[300.]
global_step=4106, episodic_return=[100.]
global_step=4179, episodic_return=[350.]
global_step=4240, episodic_return=[300.]
global_step=4303, episodic_return=[300.]
global_step=4374, episodic_return=[250.]
global_step=4455, episodic_return=[300.]
global_step=4505, episodic_return=[300.]
global_step=4551, episodic_return=[150.]
global_step=4600, episodic_return=[100.]
global_step=4705, episodic_return=[450.]
global_step=4785, episodic_return=[550.]
global_step=4896, episodic_return=[650.]
global_step=4952, episodic_return=[200.]
global_step=5000, episodic_return=[100.]
global_step=5120, episodic_return=[550.]
global_step=5178, episodic_return=[400.]
global_step=5221, episodic_return=[50.]
global_step=5281, episodic_return=[400.]
global_step=5326, episodic_return=[150.]
global_step=5371, episodic_return=[100.]
global_step=5455, episodic_return=[300.]
global_step=5501, episodic_return=[100.]
global_step=5545, episodic_return=[100.]
global_step=5582, episodic_return=[100.]
global_step=5631, episodic_return=[100.]
global_step=5701, episodic_return=[400.]
global_step=5764, episodic_return=[300.]
global_step=5836, episodic_return=[250.]
global_step=5880, episodic_return=[50.]
global_step=5956, episodic_return=[350.]
global_step=6031, episodic_return=[250.]
global_step=6090, episodic_return=[100.]
global_step=6143, episodic_return=[250.]
global_step=6259, episodic_return=[650.]
global_step=6300, episodic_return=[50.]
global_step=6356, episodic_return=[250.]
global_step=6468, episodic_return=[550.]
global_step=6514, episodic_return=[50.]
global_step=6591, episodic_return=[350.]
global_step=6665, episodic_return=[500.]
global_step=6726, episodic_return=[200.]
global_step=6769, episodic_return=[50.]
