/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/stable_baselines3/common/buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 14.12GB > 7.45GB
  warnings.warn(
global_step=49, episodic_return=[150.]
global_step=111, episodic_return=[250.]
global_step=166, episodic_return=[150.]
global_step=212, episodic_return=[100.]
global_step=286, episodic_return=[450.]
global_step=350, episodic_return=[350.]
global_step=419, episodic_return=[150.]
global_step=468, episodic_return=[200.]
global_step=548, episodic_return=[300.]
global_step=631, episodic_return=[500.]
global_step=683, episodic_return=[250.]
global_step=748, episodic_return=[300.]
global_step=810, episodic_return=[300.]
global_step=922, episodic_return=[700.]
global_step=1012, episodic_return=[450.]
global_step=1048, episodic_return=[50.]
global_step=1110, episodic_return=[200.]
global_step=1168, episodic_return=[200.]
global_step=1221, episodic_return=[200.]
global_step=1278, episodic_return=[350.]
global_step=1327, episodic_return=[50.]
global_step=1387, episodic_return=[350.]
global_step=1451, episodic_return=[350.]
global_step=1498, episodic_return=[100.]
global_step=1553, episodic_return=[350.]
global_step=1600, episodic_return=[150.]
global_step=1667, episodic_return=[350.]
global_step=1713, episodic_return=[150.]
global_step=1782, episodic_return=[350.]
global_step=1824, episodic_return=[50.]
global_step=1870, episodic_return=[50.]
global_step=1920, episodic_return=[150.]
global_step=1985, episodic_return=[150.]
global_step=2070, episodic_return=[550.]
global_step=2124, episodic_return=[200.]
global_step=2213, episodic_return=[600.]
global_step=2250, episodic_return=[100.]
global_step=2297, episodic_return=[200.]
global_step=2379, episodic_return=[350.]
global_step=2441, episodic_return=[200.]
global_step=2486, episodic_return=[100.]
global_step=2548, episodic_return=[200.]
global_step=2590, episodic_return=[50.]
global_step=2657, episodic_return=[450.]
global_step=2721, episodic_return=[400.]
global_step=2795, episodic_return=[400.]
global_step=2863, episodic_return=[300.]
global_step=2929, episodic_return=[150.]
global_step=2999, episodic_return=[250.]
global_step=3081, episodic_return=[550.]
global_step=3134, episodic_return=[150.]
global_step=3215, episodic_return=[650.]
global_step=3264, episodic_return=[150.]
global_step=3411, episodic_return=[900.]
global_step=3465, episodic_return=[150.]
global_step=3513, episodic_return=[150.]
global_step=3571, episodic_return=[200.]
global_step=3660, episodic_return=[350.]
global_step=3702, episodic_return=[50.]
global_step=3750, episodic_return=[150.]
global_step=3818, episodic_return=[300.]
global_step=3863, episodic_return=[50.]
global_step=3916, episodic_return=[250.]
global_step=3976, episodic_return=[300.]
global_step=4055, episodic_return=[400.]
global_step=4115, episodic_return=[250.]
global_step=4170, episodic_return=[200.]
global_step=4220, episodic_return=[100.]
global_step=4284, episodic_return=[450.]
global_step=4372, episodic_return=[500.]
global_step=4460, episodic_return=[500.]
global_step=4518, episodic_return=[200.]
global_step=4571, episodic_return=[50.]
global_step=4617, episodic_return=[50.]
global_step=4683, episodic_return=[200.]
global_step=4756, episodic_return=[300.]
global_step=4850, episodic_return=[350.]
global_step=4900, episodic_return=[250.]
global_step=4947, episodic_return=[50.]
global_step=5013, episodic_return=[150.]
global_step=5080, episodic_return=[150.]
global_step=5125, episodic_return=[100.]
global_step=5185, episodic_return=[150.]
global_step=5282, episodic_return=[250.]
global_step=5347, episodic_return=[500.]
global_step=5409, episodic_return=[400.]
global_step=5461, episodic_return=[150.]
global_step=5524, episodic_return=[200.]
global_step=5580, episodic_return=[300.]
global_step=5640, episodic_return=[250.]
global_step=5725, episodic_return=[600.]
global_step=5772, episodic_return=[150.]
global_step=5856, episodic_return=[500.]
global_step=5913, episodic_return=[150.]
global_step=5966, episodic_return=[150.]
global_step=6018, episodic_return=[200.]
global_step=6066, episodic_return=[50.]
global_step=6158, episodic_return=[600.]
global_step=6217, episodic_return=[300.]
