/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/stable_baselines3/common/buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 14.12GB > 13.21GB
  warnings.warn(
global_step=177, episodic_return=[100.]
global_step=358, episodic_return=[100.]
global_step=526, episodic_return=[0.]
global_step=736, episodic_return=[0.]
global_step=916, episodic_return=[0.]
global_step=1120, episodic_return=[400.]
global_step=1312, episodic_return=[100.]
global_step=1482, episodic_return=[0.]
global_step=1650, episodic_return=[0.]
global_step=1837, episodic_return=[300.]
global_step=2034, episodic_return=[100.]
global_step=2212, episodic_return=[100.]
global_step=2370, episodic_return=[100.]
global_step=2563, episodic_return=[0.]
global_step=2737, episodic_return=[0.]
global_step=2901, episodic_return=[0.]
global_step=3060, episodic_return=[100.]
global_step=3301, episodic_return=[400.]
global_step=3453, episodic_return=[100.]
global_step=3682, episodic_return=[0.]
global_step=3872, episodic_return=[0.]
global_step=4045, episodic_return=[0.]
global_step=4224, episodic_return=[100.]
global_step=4402, episodic_return=[0.]
global_step=4544, episodic_return=[0.]
global_step=4718, episodic_return=[0.]
global_step=4900, episodic_return=[0.]
global_step=5054, episodic_return=[0.]
global_step=5255, episodic_return=[0.]
global_step=5426, episodic_return=[100.]
global_step=5607, episodic_return=[0.]
global_step=5811, episodic_return=[100.]
global_step=5970, episodic_return=[100.]
global_step=6147, episodic_return=[0.]
global_step=6335, episodic_return=[100.]
global_step=6492, episodic_return=[0.]
global_step=6652, episodic_return=[0.]
global_step=6834, episodic_return=[200.]
global_step=7001, episodic_return=[100.]
global_step=7195, episodic_return=[100.]
global_step=7397, episodic_return=[100.]
global_step=7614, episodic_return=[100.]
global_step=7851, episodic_return=[200.]
global_step=8008, episodic_return=[100.]
global_step=8181, episodic_return=[0.]
global_step=8374, episodic_return=[100.]
global_step=8554, episodic_return=[0.]
global_step=8808, episodic_return=[100.]
global_step=8982, episodic_return=[100.]
global_step=9200, episodic_return=[200.]
global_step=9347, episodic_return=[100.]
global_step=9516, episodic_return=[0.]
global_step=9701, episodic_return=[200.]
global_step=9913, episodic_return=[0.]
global_step=10075, episodic_return=[100.]
global_step=10241, episodic_return=[0.]
global_step=10435, episodic_return=[100.]
global_step=10608, episodic_return=[100.]
global_step=10777, episodic_return=[300.]
global_step=10957, episodic_return=[100.]
global_step=11122, episodic_return=[100.]
global_step=11332, episodic_return=[0.]
global_step=11492, episodic_return=[100.]
global_step=11680, episodic_return=[0.]
global_step=11866, episodic_return=[200.]
global_step=12012, episodic_return=[0.]
global_step=12151, episodic_return=[0.]
global_step=12357, episodic_return=[100.]
global_step=12515, episodic_return=[200.]
global_step=12686, episodic_return=[0.]
global_step=12839, episodic_return=[0.]
global_step=12989, episodic_return=[100.]
global_step=13169, episodic_return=[0.]
global_step=13339, episodic_return=[0.]
global_step=13513, episodic_return=[100.]
global_step=13699, episodic_return=[100.]
global_step=13867, episodic_return=[0.]
global_step=14037, episodic_return=[0.]
global_step=14170, episodic_return=[0.]
global_step=14343, episodic_return=[100.]
global_step=14486, episodic_return=[100.]
global_step=14667, episodic_return=[0.]
global_step=14820, episodic_return=[100.]
global_step=15010, episodic_return=[100.]
global_step=15193, episodic_return=[200.]
global_step=15403, episodic_return=[300.]
global_step=15573, episodic_return=[0.]
global_step=15734, episodic_return=[100.]
global_step=15955, episodic_return=[0.]
global_step=16166, episodic_return=[100.]
global_step=16323, episodic_return=[0.]
global_step=16474, episodic_return=[0.]
global_step=16647, episodic_return=[0.]
global_step=16854, episodic_return=[0.]
global_step=17037, episodic_return=[0.]
global_step=17177, episodic_return=[0.]
global_step=17360, episodic_return=[100.]
global_step=17525, episodic_return=[0.]
global_step=17678, episodic_return=[0.]
global_step=17849, episodic_return=[0.]
global_step=18019, episodic_return=[200.]
global_step=18205, episodic_return=[200.]
global_step=18393, episodic_return=[200.]
global_step=18573, episodic_return=[100.]
global_step=18760, episodic_return=[100.]
global_step=18911, episodic_return=[100.]
global_step=19076, episodic_return=[0.]
global_step=19275, episodic_return=[0.]
global_step=19434, episodic_return=[0.]
global_step=19615, episodic_return=[0.]
global_step=19775, episodic_return=[100.]
global_step=19918, episodic_return=[0.]
global_step=20119, episodic_return=[400.]
global_step=20322, episodic_return=[0.]
global_step=20485, episodic_return=[100.]
global_step=20666, episodic_return=[100.]
global_step=20803, episodic_return=[0.]
global_step=21000, episodic_return=[100.]
global_step=21162, episodic_return=[100.]
global_step=21333, episodic_return=[100.]
global_step=21500, episodic_return=[0.]
global_step=21682, episodic_return=[100.]
global_step=21882, episodic_return=[100.]
global_step=22069, episodic_return=[100.]
global_step=22245, episodic_return=[100.]
global_step=22419, episodic_return=[100.]
global_step=22613, episodic_return=[0.]
global_step=22807, episodic_return=[0.]
global_step=23029, episodic_return=[0.]
global_step=23280, episodic_return=[100.]
global_step=23443, episodic_return=[0.]
global_step=23623, episodic_return=[100.]
global_step=23793, episodic_return=[100.]
global_step=23952, episodic_return=[0.]
global_step=24115, episodic_return=[100.]
global_step=24287, episodic_return=[100.]
global_step=24447, episodic_return=[200.]
global_step=24686, episodic_return=[100.]
global_step=24861, episodic_return=[100.]
global_step=25021, episodic_return=[100.]
global_step=25199, episodic_return=[0.]
global_step=25390, episodic_return=[100.]
global_step=25562, episodic_return=[100.]
global_step=25734, episodic_return=[0.]
global_step=25941, episodic_return=[100.]
global_step=26099, episodic_return=[100.]
global_step=26248, episodic_return=[0.]
global_step=26475, episodic_return=[100.]
global_step=26690, episodic_return=[100.]
global_step=26855, episodic_return=[200.]
global_step=27058, episodic_return=[0.]
global_step=27205, episodic_return=[0.]
global_step=27369, episodic_return=[0.]
global_step=27537, episodic_return=[0.]
global_step=27807, episodic_return=[100.]
global_step=27981, episodic_return=[0.]
global_step=28169, episodic_return=[0.]
global_step=28338, episodic_return=[200.]
global_step=28512, episodic_return=[100.]
global_step=28673, episodic_return=[0.]
global_step=28830, episodic_return=[0.]
global_step=29002, episodic_return=[0.]
global_step=29179, episodic_return=[0.]
global_step=29363, episodic_return=[0.]
global_step=29551, episodic_return=[200.]
global_step=29684, episodic_return=[0.]
global_step=29964, episodic_return=[100.]
global_step=30119, episodic_return=[100.]
global_step=30340, episodic_return=[200.]
global_step=30499, episodic_return=[0.]
global_step=30679, episodic_return=[0.]
global_step=30867, episodic_return=[200.]
global_step=31113, episodic_return=[200.]
global_step=31282, episodic_return=[100.]
global_step=31465, episodic_return=[200.]
global_step=31621, episodic_return=[100.]
global_step=31777, episodic_return=[100.]
global_step=31972, episodic_return=[0.]
global_step=32130, episodic_return=[100.]
global_step=32299, episodic_return=[0.]
global_step=32477, episodic_return=[0.]
global_step=32645, episodic_return=[0.]
global_step=32816, episodic_return=[100.]
global_step=32958, episodic_return=[0.]
global_step=33189, episodic_return=[300.]
global_step=33419, episodic_return=[200.]
global_step=33623, episodic_return=[200.]
global_step=33794, episodic_return=[100.]
global_step=33971, episodic_return=[0.]
global_step=34160, episodic_return=[0.]
global_step=34358, episodic_return=[100.]
global_step=34507, episodic_return=[200.]
global_step=34692, episodic_return=[0.]
global_step=34893, episodic_return=[0.]
global_step=35075, episodic_return=[100.]
global_step=35262, episodic_return=[0.]
global_step=35434, episodic_return=[200.]
global_step=35620, episodic_return=[100.]
global_step=35803, episodic_return=[100.]
global_step=35938, episodic_return=[100.]
global_step=36135, episodic_return=[200.]
global_step=36344, episodic_return=[300.]
global_step=36537, episodic_return=[100.]
global_step=36744, episodic_return=[100.]
global_step=36897, episodic_return=[0.]
global_step=37066, episodic_return=[100.]
global_step=37253, episodic_return=[200.]
global_step=37450, episodic_return=[0.]
global_step=37665, episodic_return=[300.]
global_step=37847, episodic_return=[100.]
global_step=38023, episodic_return=[100.]
global_step=38162, episodic_return=[200.]
global_step=38357, episodic_return=[100.]
global_step=38541, episodic_return=[0.]
global_step=38683, episodic_return=[100.]
global_step=38863, episodic_return=[100.]
global_step=39007, episodic_return=[0.]
global_step=39186, episodic_return=[0.]
global_step=39391, episodic_return=[100.]
global_step=39593, episodic_return=[0.]
global_step=39729, episodic_return=[0.]
global_step=39892, episodic_return=[0.]
global_step=40062, episodic_return=[100.]
global_step=40215, episodic_return=[100.]
global_step=40367, episodic_return=[0.]
global_step=40517, episodic_return=[0.]
global_step=40682, episodic_return=[200.]
global_step=40858, episodic_return=[200.]
global_step=41040, episodic_return=[100.]
global_step=41220, episodic_return=[0.]
global_step=41426, episodic_return=[300.]
global_step=41582, episodic_return=[0.]
global_step=41753, episodic_return=[0.]
global_step=42019, episodic_return=[200.]
global_step=42165, episodic_return=[200.]
global_step=42320, episodic_return=[0.]
global_step=42475, episodic_return=[100.]
global_step=42659, episodic_return=[200.]
global_step=42851, episodic_return=[100.]
global_step=43057, episodic_return=[100.]
global_step=43207, episodic_return=[100.]
global_step=43366, episodic_return=[0.]
global_step=43553, episodic_return=[200.]
global_step=43716, episodic_return=[0.]
global_step=43870, episodic_return=[100.]
global_step=44023, episodic_return=[0.]
global_step=44220, episodic_return=[100.]
global_step=44388, episodic_return=[100.]
global_step=44574, episodic_return=[0.]
global_step=44747, episodic_return=[200.]
global_step=44903, episodic_return=[0.]
global_step=45107, episodic_return=[0.]
global_step=45272, episodic_return=[100.]
global_step=45437, episodic_return=[100.]
global_step=45606, episodic_return=[200.]
global_step=45786, episodic_return=[200.]
global_step=45972, episodic_return=[0.]
global_step=46161, episodic_return=[100.]
global_step=46334, episodic_return=[100.]
global_step=46506, episodic_return=[0.]
global_step=46702, episodic_return=[100.]
global_step=46875, episodic_return=[0.]
global_step=47050, episodic_return=[100.]
global_step=47255, episodic_return=[0.]
global_step=47391, episodic_return=[100.]
global_step=47567, episodic_return=[0.]
global_step=47755, episodic_return=[0.]
global_step=47965, episodic_return=[100.]
global_step=48150, episodic_return=[0.]
global_step=48334, episodic_return=[0.]
global_step=48538, episodic_return=[200.]
global_step=48726, episodic_return=[100.]
global_step=48912, episodic_return=[100.]
global_step=49051, episodic_return=[100.]
global_step=49209, episodic_return=[100.]
global_step=49360, episodic_return=[100.]
global_step=49527, episodic_return=[100.]
global_step=49689, episodic_return=[100.]
global_step=49808, episodic_return=[100.]
global_step=49965, episodic_return=[0.]
global_step=50210, episodic_return=[200.]
global_step=50411, episodic_return=[200.]
global_step=50572, episodic_return=[100.]
global_step=50739, episodic_return=[0.]
global_step=50935, episodic_return=[200.]
global_step=51112, episodic_return=[100.]
global_step=51281, episodic_return=[100.]
global_step=51502, episodic_return=[100.]
global_step=51691, episodic_return=[100.]
global_step=51841, episodic_return=[100.]
global_step=52007, episodic_return=[200.]
global_step=52171, episodic_return=[100.]
global_step=52319, episodic_return=[200.]
global_step=52477, episodic_return=[0.]
global_step=52648, episodic_return=[100.]
global_step=52827, episodic_return=[0.]
global_step=53006, episodic_return=[100.]
global_step=53155, episodic_return=[0.]
global_step=53342, episodic_return=[100.]
global_step=53529, episodic_return=[100.]
global_step=53688, episodic_return=[100.]
global_step=53857, episodic_return=[0.]
global_step=54029, episodic_return=[100.]
global_step=54186, episodic_return=[0.]
global_step=54370, episodic_return=[0.]
global_step=54547, episodic_return=[100.]
global_step=54757, episodic_return=[100.]
global_step=54928, episodic_return=[100.]
global_step=55077, episodic_return=[0.]
global_step=55276, episodic_return=[100.]
global_step=55458, episodic_return=[0.]
global_step=55629, episodic_return=[0.]
global_step=55817, episodic_return=[0.]
global_step=56008, episodic_return=[100.]
global_step=56179, episodic_return=[200.]
global_step=56391, episodic_return=[100.]
global_step=56549, episodic_return=[0.]
global_step=56709, episodic_return=[0.]
global_step=56868, episodic_return=[200.]
global_step=57084, episodic_return=[100.]
global_step=57281, episodic_return=[100.]
global_step=57472, episodic_return=[200.]
global_step=57626, episodic_return=[0.]
global_step=57806, episodic_return=[200.]
global_step=57989, episodic_return=[0.]
global_step=58161, episodic_return=[100.]
global_step=58346, episodic_return=[0.]
global_step=58512, episodic_return=[0.]
global_step=58725, episodic_return=[0.]
global_step=58861, episodic_return=[0.]
global_step=59031, episodic_return=[100.]
global_step=59238, episodic_return=[100.]
global_step=59376, episodic_return=[100.]
global_step=59534, episodic_return=[100.]
global_step=59750, episodic_return=[200.]
global_step=59915, episodic_return=[100.]
global_step=60126, episodic_return=[0.]
global_step=60295, episodic_return=[300.]
global_step=60511, episodic_return=[0.]
global_step=60668, episodic_return=[100.]
global_step=60863, episodic_return=[200.]
global_step=61030, episodic_return=[0.]
global_step=61221, episodic_return=[200.]
global_step=61379, episodic_return=[100.]
global_step=61551, episodic_return=[100.]
global_step=61718, episodic_return=[0.]
global_step=61865, episodic_return=[100.]
global_step=62018, episodic_return=[0.]
global_step=62227, episodic_return=[100.]
global_step=62385, episodic_return=[200.]
global_step=62615, episodic_return=[500.]
global_step=62801, episodic_return=[0.]
global_step=62985, episodic_return=[0.]
global_step=63151, episodic_return=[0.]
global_step=63336, episodic_return=[100.]
global_step=63503, episodic_return=[0.]
global_step=63662, episodic_return=[0.]
global_step=63831, episodic_return=[100.]
global_step=64053, episodic_return=[100.]
global_step=64208, episodic_return=[0.]
global_step=64377, episodic_return=[0.]
global_step=64613, episodic_return=[0.]
global_step=64783, episodic_return=[0.]
global_step=64953, episodic_return=[0.]
global_step=65113, episodic_return=[0.]
global_step=65272, episodic_return=[200.]
global_step=65467, episodic_return=[0.]
global_step=65670, episodic_return=[300.]
global_step=65840, episodic_return=[100.]
global_step=66009, episodic_return=[0.]
global_step=66177, episodic_return=[100.]
global_step=66375, episodic_return=[0.]
global_step=66562, episodic_return=[100.]
global_step=66744, episodic_return=[0.]
global_step=66924, episodic_return=[200.]
global_step=67125, episodic_return=[0.]
global_step=67276, episodic_return=[0.]
global_step=67511, episodic_return=[200.]
global_step=67678, episodic_return=[100.]
global_step=67842, episodic_return=[100.]
global_step=68010, episodic_return=[100.]
global_step=68154, episodic_return=[100.]
global_step=68326, episodic_return=[0.]
global_step=68484, episodic_return=[100.]
global_step=68638, episodic_return=[0.]
global_step=68824, episodic_return=[100.]
global_step=69004, episodic_return=[200.]
global_step=69201, episodic_return=[0.]
global_step=69347, episodic_return=[100.]
global_step=69516, episodic_return=[100.]
global_step=69670, episodic_return=[0.]
global_step=69851, episodic_return=[200.]
global_step=70021, episodic_return=[100.]
global_step=70200, episodic_return=[100.]
global_step=70376, episodic_return=[100.]
global_step=70571, episodic_return=[0.]
global_step=70713, episodic_return=[0.]
global_step=70876, episodic_return=[100.]
global_step=71063, episodic_return=[100.]
global_step=71197, episodic_return=[100.]
global_step=71352, episodic_return=[100.]
global_step=71519, episodic_return=[100.]
global_step=71690, episodic_return=[100.]
global_step=71876, episodic_return=[100.]
global_step=72047, episodic_return=[100.]
global_step=72233, episodic_return=[0.]
global_step=72415, episodic_return=[0.]
global_step=72559, episodic_return=[0.]
global_step=72691, episodic_return=[200.]
global_step=72840, episodic_return=[200.]
global_step=73016, episodic_return=[200.]
global_step=73189, episodic_return=[0.]
global_step=73383, episodic_return=[100.]
global_step=73538, episodic_return=[100.]
global_step=73743, episodic_return=[100.]
global_step=73908, episodic_return=[100.]
global_step=74060, episodic_return=[0.]
global_step=74212, episodic_return=[0.]
global_step=74451, episodic_return=[0.]
global_step=74606, episodic_return=[100.]
global_step=74798, episodic_return=[100.]
global_step=74978, episodic_return=[100.]
global_step=75163, episodic_return=[100.]
global_step=75321, episodic_return=[0.]
global_step=75480, episodic_return=[0.]
global_step=75657, episodic_return=[100.]
global_step=75838, episodic_return=[0.]
global_step=75995, episodic_return=[0.]
global_step=76161, episodic_return=[300.]
global_step=76320, episodic_return=[0.]
global_step=76488, episodic_return=[0.]
global_step=76671, episodic_return=[300.]
global_step=76839, episodic_return=[100.]
global_step=77010, episodic_return=[0.]
global_step=77176, episodic_return=[0.]
global_step=77365, episodic_return=[100.]
global_step=77521, episodic_return=[100.]
global_step=77722, episodic_return=[0.]
global_step=77923, episodic_return=[200.]
global_step=78105, episodic_return=[0.]
global_step=78234, episodic_return=[200.]
global_step=78402, episodic_return=[100.]
global_step=78559, episodic_return=[100.]
global_step=78718, episodic_return=[200.]
global_step=78869, episodic_return=[100.]
global_step=79090, episodic_return=[100.]
global_step=79257, episodic_return=[100.]
global_step=79446, episodic_return=[0.]
global_step=79619, episodic_return=[100.]
global_step=79794, episodic_return=[0.]
global_step=79926, episodic_return=[100.]
SPS: 722
global_step=80108, episodic_return=[100.]
SPS: 721
global_step=80298, episodic_return=[0.]
SPS: 720
SPS: 719
global_step=80449, episodic_return=[100.]
SPS: 718
SPS: 718
global_step=80644, episodic_return=[0.]
SPS: 717
SPS: 716
global_step=80802, episodic_return=[0.]
SPS: 715
global_step=80968, episodic_return=[100.]
SPS: 715
SPS: 714
global_step=81153, episodic_return=[500.]
SPS: 713
SPS: 713
global_step=81344, episodic_return=[0.]
SPS: 712
SPS: 711
global_step=81534, episodic_return=[100.]
SPS: 710
global_step=81697, episodic_return=[100.]
SPS: 710
SPS: 709
global_step=81874, episodic_return=[0.]
SPS: 708
SPS: 707
global_step=82068, episodic_return=[100.]
SPS: 707
SPS: 706
global_step=82219, episodic_return=[0.]
SPS: 705
global_step=82376, episodic_return=[100.]
SPS: 704
SPS: 704
global_step=82545, episodic_return=[0.]
SPS: 703
SPS: 702
global_step=82731, episodic_return=[100.]
SPS: 701
global_step=82888, episodic_return=[0.]
SPS: 700
SPS: 699
SPS: 699
global_step=83106, episodic_return=[100.]
SPS: 698
global_step=83294, episodic_return=[100.]
SPS: 697
SPS: 696
global_step=83483, episodic_return=[100.]
SPS: 695
SPS: 695
global_step=83699, episodic_return=[100.]
SPS: 694
SPS: 693
global_step=83846, episodic_return=[0.]
SPS: 692
global_step=83995, episodic_return=[100.]
SPS: 691
SPS: 691
global_step=84175, episodic_return=[0.]
SPS: 690
SPS: 689
global_step=84366, episodic_return=[0.]
SPS: 688
SPS: 688
global_step=84550, episodic_return=[100.]
SPS: 687
SPS: 686
global_step=84735, episodic_return=[300.]
SPS: 686
SPS: 685
global_step=84955, episodic_return=[100.]
SPS: 684
SPS: 684
global_step=85123, episodic_return=[200.]
SPS: 683
SPS: 682
global_step=85302, episodic_return=[100.]
SPS: 682
global_step=85473, episodic_return=[100.]
SPS: 681
SPS: 680
global_step=85642, episodic_return=[0.]
SPS: 679
SPS: 679
global_step=85815, episodic_return=[0.]
SPS: 678
SPS: 677
global_step=86043, episodic_return=[200.]
SPS: 677
SPS: 676
global_step=86223, episodic_return=[0.]
SPS: 675
SPS: 674
global_step=86410, episodic_return=[0.]
SPS: 674
global_step=86587, episodic_return=[100.]
SPS: 673
SPS: 672
global_step=86755, episodic_return=[0.]
SPS: 672
SPS: 671
global_step=86998, episodic_return=[100.]
SPS: 670
SPS: 669
global_step=87194, episodic_return=[0.]
SPS: 668
SPS: 668
global_step=87349, episodic_return=[0.]
SPS: 667
SPS: 666
global_step=87570, episodic_return=[300.]
SPS: 666
SPS: 665
global_step=87749, episodic_return=[0.]
SPS: 664
SPS: 664
global_step=87906, episodic_return=[0.]
SPS: 663
global_step=88054, episodic_return=[0.]
SPS: 662
SPS: 662
global_step=88222, episodic_return=[100.]
SPS: 661
global_step=88389, episodic_return=[0.]
SPS: 661
SPS: 660
global_step=88590, episodic_return=[100.]
SPS: 659
SPS: 659
global_step=88741, episodic_return=[100.]
SPS: 658
SPS: 657
global_step=88956, episodic_return=[200.]
SPS: 657
SPS: 656
global_step=89129, episodic_return=[100.]
SPS: 655
SPS: 655
global_step=89303, episodic_return=[0.]
SPS: 654
global_step=89475, episodic_return=[0.]
SPS: 653
SPS: 653
global_step=89697, episodic_return=[200.]
SPS: 652
SPS: 651
global_step=89852, episodic_return=[200.]
SPS: 651
SPS: 650
